Name,Native Name,Capital(s),Population,Languages,Region
United States,United States of America,"Washington, D.C.",340110988,English,Americas
Canada,Canada,Ottawa,41651653,English,Americas
Pakistan,Islamic Republic of Pakistan,Islamabad,241499431,English,Asia
India,Republic of India,New Delhi,1417492000,English,Asia
North Korea,조선민주주의인민공화국,Pyongyang,25950000,Korean,Asia
China,中华人民共和国,Beijing,1408280000,Chinese,Asia
Japan,日本,Tokyo,123210000,Japanese,Asia
Switzerland,Confédération suisse,Bern,9082848,French,Europe
Italy,Repubblica italiana,Rome,58927633,Italian,Europe
Norway,Kongeriket Noreg,Oslo,5606944,Norwegian Nynorsk,Europe
